destination,source,time
74.125.177.35.43242,10.150.0.6.22,04:58:49.626928
74.125.177.35.43242,10.150.0.6.22,04:58:49.626969
74.125.177.35.43242,10.150.0.6.22,04:58:49.627011
74.125.177.35.43242,10.150.0.6.22,04:58:49.627037
10.150.0.6.22,74.125.177.35.43242,04:58:49.634274
10.150.0.6.22,74.125.177.35.43242,04:58:49.642073
10.150.0.6.22,74.125.177.35.43242,04:58:49.642105
10.150.0.6.22,74.125.177.35.43242,04:58:49.642318
10.150.0.6.22,74.125.177.35.43242,04:58:49.642322
10.150.0.6.43506,169.254.169.254.80,04:58:51.174985
169.254.169.254.80,10.150.0.6.43506,04:58:51.175033
169.254.169.254.80,10.150.0.6.43506,04:58:51.178082
10.150.0.6.43506,169.254.169.254.80,04:58:51.178205
10.150.0.6.43506,169.254.169.254.80,04:58:51.178272
172.217.8.10.443,10.150.0.6.35310,04:58:52.524473
10.150.0.6.35310,172.217.8.10.443,04:58:52.525454
172.217.164.138.443,10.150.0.6.49188,04:58:55.852466
10.150.0.6.49188,172.217.164.138.443,04:58:55.853216
10.150.0.6.22,74.125.177.39.47332,04:58:55.950306
74.125.177.39.47332,10.150.0.6.22,04:58:55.950584
10.150.0.6.22,74.125.177.39.47332,04:58:55.965855
10.150.0.6.22,74.125.177.39.47332,04:58:59.799844
74.125.177.39.47332,10.150.0.6.22,04:58:59.800028
10.150.0.6.22,74.125.177.39.47332,04:58:59.815283
10.150.0.6.22,74.125.177.39.47332,04:58:59.996031
74.125.177.39.47332,10.150.0.6.22,04:58:59.996223
10.150.0.6.22,74.125.177.39.47332,04:59:00.011541
10.150.0.6.22,74.125.177.39.47332,04:59:00.176859
74.125.177.39.47332,10.150.0.6.22,04:59:00.177047
10.150.0.6.22,74.125.177.39.47332,04:59:00.192354
10.150.0.6.22,74.125.177.39.47332,04:59:00.383494
74.125.177.39.47332,10.150.0.6.22,04:59:00.383709
10.150.0.6.22,74.125.177.39.47332,04:59:00.398630
10.150.0.6.22,74.125.177.39.47332,04:59:00.596599
74.125.177.39.47332,10.150.0.6.22,04:59:00.596797
10.150.0.6.22,74.125.177.39.47332,04:59:00.611699
10.150.0.6.22,74.125.177.39.47332,04:59:01.088920
74.125.177.39.47332,10.150.0.6.22,04:59:01.089110
10.150.0.6.22,74.125.177.39.47332,04:59:01.103989
10.150.0.6.22,74.125.177.39.47332,04:59:01.601040
74.125.177.39.47332,10.150.0.6.22,04:59:01.601240
10.150.0.6.22,74.125.177.39.47332,04:59:01.616133
10.150.0.6.22,74.125.177.39.47332,04:59:01.660114
74.125.177.39.47332,10.150.0.6.22,04:59:01.660322
10.150.0.6.22,74.125.177.39.47332,04:59:01.675251
10.150.0.6.22,74.125.177.39.47332,04:59:01.818232
74.125.177.39.47332,10.150.0.6.22,04:59:01.818422
10.150.0.6.22,74.125.177.39.47332,04:59:01.833353
10.150.0.6.22,74.125.177.39.47332,04:59:02.087997
74.125.177.39.47332,10.150.0.6.22,04:59:02.088185
10.150.0.6.22,74.125.177.39.47332,04:59:02.103141
10.150.0.6.22,74.125.177.39.47332,04:59:02.189973
74.125.177.39.47332,10.150.0.6.22,04:59:02.190156
10.150.0.6.22,74.125.177.39.47332,04:59:02.205066
10.150.0.6.22,74.125.177.39.47332,04:59:02.394619
74.125.177.39.47332,10.150.0.6.22,04:59:02.394893
10.150.0.6.22,74.125.177.39.47332,04:59:02.409848
